CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,AVARON.DXR,1,bitmap,,,
1,Internal,AVARON.DXR,2,script,,,
1,Internal,AVARON.DXR,3,script,,,
1,Internal,AVARON.DXR,4,script,,,
1,Internal,AVARON.DXR,5,script,,,
1,Internal,AVARON.DXR,6,transition,,,
1,Internal,AVARON.DXR,7,sound,*drum22,,
2,EngMes,EngMes.cxt,1,richText,,,
2,EngMes,EngMes.cxt,2,bitmap,M2,,
2,EngMes,EngMes.cxt,3,bitmap,M3,,
2,EngMes,EngMes.cxt,4,bitmap,M4,,
2,EngMes,EngMes.cxt,5,bitmap,M5,,
2,EngMes,EngMes.cxt,6,bitmap,M6,,
2,EngMes,EngMes.cxt,7,bitmap,M7,,
2,EngMes,EngMes.cxt,8,bitmap,M8,,
2,EngMes,EngMes.cxt,9,richText,,,
2,EngMes,EngMes.cxt,10,bitmap,M10,,
2,EngMes,EngMes.cxt,11,bitmap,M11,,
2,EngMes,EngMes.cxt,12,bitmap,M12,,
2,EngMes,EngMes.cxt,13,bitmap,M13,,
2,EngMes,EngMes.cxt,14,richText,,,
2,EngMes,EngMes.cxt,15,bitmap,M15,,
2,EngMes,EngMes.cxt,16,bitmap,M16,,
2,EngMes,EngMes.cxt,17,bitmap,M17,,
2,EngMes,EngMes.cxt,18,bitmap,M18,,
2,EngMes,EngMes.cxt,19,bitmap,M19,,
2,EngMes,EngMes.cxt,20,bitmap,M20,,
2,EngMes,EngMes.cxt,21,bitmap,M21,,
2,EngMes,EngMes.cxt,22,bitmap,M22,,
2,EngMes,EngMes.cxt,23,bitmap,M23,,
2,EngMes,EngMes.cxt,24,richText,,,
2,EngMes,EngMes.cxt,25,bitmap,M25,,
2,EngMes,EngMes.cxt,26,bitmap,M26,,
2,EngMes,EngMes.cxt,27,bitmap,M27,,
2,EngMes,EngMes.cxt,28,bitmap,M28,,
2,EngMes,EngMes.cxt,29,bitmap,M29,,
2,EngMes,EngMes.cxt,30,bitmap,M30,,
2,EngMes,EngMes.cxt,31,bitmap,M31,,
2,EngMes,EngMes.cxt,32,richText,,,
2,EngMes,EngMes.cxt,33,bitmap,M33,,
2,EngMes,EngMes.cxt,34,bitmap,M34,,
2,EngMes,EngMes.cxt,35,bitmap,M35,,
2,EngMes,EngMes.cxt,36,bitmap,M36,,
2,EngMes,EngMes.cxt,37,bitmap,M37,,
2,EngMes,EngMes.cxt,38,bitmap,M38,,
2,EngMes,EngMes.cxt,39,bitmap,M39,,
2,EngMes,EngMes.cxt,40,richText,,,
2,EngMes,EngMes.cxt,41,bitmap,M41,,
2,EngMes,EngMes.cxt,42,bitmap,M42,,
2,EngMes,EngMes.cxt,43,bitmap,M43,,
2,EngMes,EngMes.cxt,44,bitmap,M44,,
2,EngMes,EngMes.cxt,45,bitmap,M45,,
2,EngMes,EngMes.cxt,46,bitmap,M46,,
2,EngMes,EngMes.cxt,47,bitmap,M47,,
2,EngMes,EngMes.cxt,48,bitmap,M48,,
2,EngMes,EngMes.cxt,49,bitmap,M49,,
2,EngMes,EngMes.cxt,50,bitmap,M50,,
2,EngMes,EngMes.cxt,51,richText,,,
2,EngMes,EngMes.cxt,52,bitmap,M52,,
2,EngMes,EngMes.cxt,53,bitmap,M53,,
2,EngMes,EngMes.cxt,54,bitmap,M54,,
2,EngMes,EngMes.cxt,55,bitmap,M55,,
2,EngMes,EngMes.cxt,56,richText,,,
2,EngMes,EngMes.cxt,57,bitmap,M57,,
2,EngMes,EngMes.cxt,58,bitmap,M58,,
2,EngMes,EngMes.cxt,59,bitmap,M59,,
2,EngMes,EngMes.cxt,60,bitmap,M60,,
2,EngMes,EngMes.cxt,61,bitmap,M61,,
2,EngMes,EngMes.cxt,62,bitmap,M62,,
2,EngMes,EngMes.cxt,63,richText,,,
2,EngMes,EngMes.cxt,64,bitmap,M64,,
2,EngMes,EngMes.cxt,65,bitmap,M65,,
2,EngMes,EngMes.cxt,66,bitmap,M66,,
2,EngMes,EngMes.cxt,67,bitmap,M67,,
2,EngMes,EngMes.cxt,68,bitmap,M68,,
2,EngMes,EngMes.cxt,69,richText,,,
