CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,MEXICO.DXR,1,bitmap,,,
1,Internal,MEXICO.DXR,2,transition,,,
1,Internal,MEXICO.DXR,3,transition,,,
1,Internal,MEXICO.DXR,4,script,freshRAM,,
1,Internal,MEXICO.DXR,5,script,dly60,,
1,Internal,MEXICO.DXR,6,bitmap,,,
1,Internal,MEXICO.DXR,7,script,,,
1,Internal,MEXICO.DXR,8,script,,,
1,Internal,MEXICO.DXR,9,script,,,
1,Internal,MEXICO.DXR,10,script,,,
1,Internal,MEXICO.DXR,11,script,,,
1,Internal,MEXICO.DXR,12,script,,,
1,Internal,MEXICO.DXR,13,script,,,
1,Internal,MEXICO.DXR,14,script,,,
1,Internal,MEXICO.DXR,15,script,,,
1,Internal,MEXICO.DXR,16,script,,,
1,Internal,MEXICO.DXR,17,script,,,
1,Internal,MEXICO.DXR,18,sound,mex audio,,
2,Shared.Cst,Shared.cxt,1,script,soundfadeout 2,,
2,Shared.Cst,Shared.cxt,2,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,3,script,mouseDown«ºlstB«˜,,
2,Shared.Cst,Shared.cxt,4,script,ShipGo«ÖÈg«ß,,
2,Shared.Cst,Shared.cxt,5,script,mouseDown«ºgWentLstC(MapM),,
2,Shared.Cst,Shared.cxt,6,script,ShipGo«ÖÈg«ß2,,
2,Shared.Cst,Shared.cxt,7,script,ShipGo«Ö«¨«©«ß3,,
2,Shared.Cst,Shared.cxt,8,script,goMovieD,,
2,Shared.Cst,Shared.cxt,9,script,,,
2,Shared.Cst,Shared.cxt,10,script,ShipGo«ÖÈg«ß4,,
2,Shared.Cst,Shared.cxt,11,script,gWentLstE«ÖÑÉ«ë,,
2,Shared.Cst,Shared.cxt,12,script,exitFrame«ºgoMovieB,,
2,Shared.Cst,Shared.cxt,13,script,ShipGo«º«¨«©«ß5,,
2,Shared.Cst,Shared.cxt,14,script,,,
2,Shared.Cst,Shared.cxt,15,script,,,
2,Shared.Cst,Shared.cxt,16,script,,,
2,Shared.Cst,Shared.cxt,17,script,ÓÉÛpTengIn2«ÖÒÅ«»(Í€«¢),,
2,Shared.Cst,Shared.cxt,18,field,SaveText,,
2,Shared.Cst,Shared.cxt,19,transition,,,
2,Shared.Cst,Shared.cxt,20,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,21,transition,,,
2,Shared.Cst,Shared.cxt,22,script,,,
2,Shared.Cst,Shared.cxt,23,script,,,
2,Shared.Cst,Shared.cxt,24,transition,,,
2,Shared.Cst,Shared.cxt,25,script,,,
2,Shared.Cst,Shared.cxt,26,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,27,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,28,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,29,script,ÓÉÛpmouseDown«ºgo marker(-1),,
2,Shared.Cst,Shared.cxt,30,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,31,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,32,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,33,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,34,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,35,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,36,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,37,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,38,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,39,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,40,field,menu,,
2,Shared.Cst,Shared.cxt,41,field,copyright,,
