CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,ISLANDMI.DXR,1,bitmap,,,
1,Internal,ISLANDMI.DXR,2,bitmap,,,
1,Internal,ISLANDMI.DXR,3,bitmap,,,
1,Internal,ISLANDMI.DXR,4,bitmap,,,
1,Internal,ISLANDMI.DXR,5,bitmap,,,
1,Internal,ISLANDMI.DXR,6,bitmap,,,
1,Internal,ISLANDMI.DXR,7,bitmap,,,
1,Internal,ISLANDMI.DXR,8,script,,,
1,Internal,ISLANDMI.DXR,9,bitmap,,,
1,Internal,ISLANDMI.DXR,10,bitmap,,,
1,Internal,ISLANDMI.DXR,11,bitmap,,,
1,Internal,ISLANDMI.DXR,12,bitmap,,,
1,Internal,ISLANDMI.DXR,13,bitmap,Íë«¢Ó»Ò⁄.pict f00001,,
1,Internal,ISLANDMI.DXR,14,script,,,
1,Internal,ISLANDMI.DXR,15,script,,,
1,Internal,ISLANDMI.DXR,16,transition,,,
1,Internal,ISLANDMI.DXR,17,bitmap,,,
1,Internal,ISLANDMI.DXR,18,bitmap,,,
1,Internal,ISLANDMI.DXR,19,bitmap,,,
1,Internal,ISLANDMI.DXR,20,bitmap,,,
1,Internal,ISLANDMI.DXR,21,bitmap,,,
1,Internal,ISLANDMI.DXR,22,bitmap,,,
1,Internal,ISLANDMI.DXR,23,bitmap,,,
1,Internal,ISLANDMI.DXR,24,bitmap,,,
1,Internal,ISLANDMI.DXR,25,bitmap,,,
1,Internal,ISLANDMI.DXR,26,bitmap,,,
1,Internal,ISLANDMI.DXR,27,bitmap,,,
1,Internal,ISLANDMI.DXR,28,bitmap,,,
1,Internal,ISLANDMI.DXR,29,bitmap,,,
1,Internal,ISLANDMI.DXR,30,bitmap,,,
1,Internal,ISLANDMI.DXR,31,bitmap,,,
1,Internal,ISLANDMI.DXR,32,script,,,
1,Internal,ISLANDMI.DXR,33,script,,,
1,Internal,ISLANDMI.DXR,34,bitmap,Ó»Ò⁄2.icon,,
1,Internal,ISLANDMI.DXR,35,script,,,
1,Internal,ISLANDMI.DXR,36,script,,,
1,Internal,ISLANDMI.DXR,37,script,,,
1,Internal,ISLANDMI.DXR,38,script,,,
1,Internal,ISLANDMI.DXR,39,script,,,
1,Internal,ISLANDMI.DXR,40,script,,,
1,Internal,ISLANDMI.DXR,41,script,,,
1,Internal,ISLANDMI.DXR,42,script,,,
1,Internal,ISLANDMI.DXR,43,script,,,
1,Internal,ISLANDMI.DXR,44,script,,,
1,Internal,ISLANDMI.DXR,45,script,,,
1,Internal,ISLANDMI.DXR,46,script,,,
1,Internal,ISLANDMI.DXR,47,script,,,
1,Internal,ISLANDMI.DXR,48,script,,,
1,Internal,ISLANDMI.DXR,49,script,,,
1,Internal,ISLANDMI.DXR,50,script,,,
1,Internal,ISLANDMI.DXR,51,script,,,
1,Internal,ISLANDMI.DXR,52,script,,,
1,Internal,ISLANDMI.DXR,53,script,,,
1,Internal,ISLANDMI.DXR,54,script,,,
1,Internal,ISLANDMI.DXR,55,script,,,
1,Internal,ISLANDMI.DXR,56,script,,,
1,Internal,ISLANDMI.DXR,57,script,,,
1,Internal,ISLANDMI.DXR,58,sound,…J…k≈[«ù«±«∆‚˛≈A«á«µ«ç«’Í÷«√‚˛2,,
1,Internal,ISLANDMI.DXR,59,sound,017,,
1,Internal,ISLANDMI.DXR,60,sound,Òˇ«√ÓÜ«ôÛÈ«¯«»‚˛,,
1,Internal,ISLANDMI.DXR,61,script,,,
1,Internal,ISLANDMI.DXR,62,script,,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
2,Pon.Cst,Pon.cxt,26,bitmap,,,
2,Pon.Cst,Pon.cxt,27,bitmap,,,
2,Pon.Cst,Pon.cxt,28,bitmap,,,
2,Pon.Cst,Pon.cxt,29,bitmap,,,
2,Pon.Cst,Pon.cxt,30,bitmap,,,
2,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
2,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
2,Pon.Cst,Pon.cxt,33,bitmap,,,
2,Pon.Cst,Pon.cxt,34,bitmap,,,
2,Pon.Cst,Pon.cxt,35,bitmap,,,
2,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
2,Pon.Cst,Pon.cxt,37,bitmap,,,
2,Pon.Cst,Pon.cxt,38,bitmap,,,
2,Pon.Cst,Pon.cxt,39,bitmap,,,
2,Pon.Cst,Pon.cxt,40,bitmap,,,
2,Pon.Cst,Pon.cxt,41,bitmap,,,
2,Pon.Cst,Pon.cxt,42,bitmap,,,
2,Pon.Cst,Pon.cxt,43,bitmap,,,
2,Pon.Cst,Pon.cxt,44,bitmap,,,
2,Pon.Cst,Pon.cxt,45,bitmap,,,
2,Pon.Cst,Pon.cxt,46,bitmap,,,
2,Pon.Cst,Pon.cxt,47,bitmap,,,
2,Pon.Cst,Pon.cxt,48,bitmap,,,
2,Pon.Cst,Pon.cxt,49,bitmap,,,
2,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
2,Pon.Cst,Pon.cxt,51,bitmap,,,
2,Pon.Cst,Pon.cxt,52,bitmap,,,
2,Pon.Cst,Pon.cxt,53,bitmap,,,
2,Pon.Cst,Pon.cxt,54,bitmap,,,
2,Pon.Cst,Pon.cxt,55,bitmap,,,
2,Pon.Cst,Pon.cxt,56,bitmap,,,
2,Pon.Cst,Pon.cxt,57,bitmap,,,
2,Pon.Cst,Pon.cxt,58,bitmap,,,
2,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
2,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
2,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
2,Pon.Cst,Pon.cxt,62,bitmap,PonStopRR,,
2,Pon.Cst,Pon.cxt,63,bitmap,,,
2,Pon.Cst,Pon.cxt,64,bitmap,,,
2,Pon.Cst,Pon.cxt,65,bitmap,,,
2,Pon.Cst,Pon.cxt,66,filmLoop,PonGetR,,
2,Pon.Cst,Pon.cxt,67,bitmap,PonStopLL,,
2,Pon.Cst,Pon.cxt,68,bitmap,,,
2,Pon.Cst,Pon.cxt,69,bitmap,,,
2,Pon.Cst,Pon.cxt,70,bitmap,,,
2,Pon.Cst,Pon.cxt,71,bitmap,,,
2,Pon.Cst,Pon.cxt,72,bitmap,,,
2,Pon.Cst,Pon.cxt,73,bitmap,,,
2,Pon.Cst,Pon.cxt,74,bitmap,,,
2,Pon.Cst,Pon.cxt,75,filmLoop,PonGetL,,
2,Pon.Cst,Pon.cxt,76,filmLoop,PonPunchL,,
2,Pon.Cst,Pon.cxt,77,bitmap,,,
2,Pon.Cst,Pon.cxt,78,bitmap,,,
2,Pon.Cst,Pon.cxt,79,bitmap,,,
2,Pon.Cst,Pon.cxt,80,bitmap,,,
2,Pon.Cst,Pon.cxt,81,filmLoop,PonPunchR,,
2,Pon.Cst,Pon.cxt,82,bitmap,,,
2,Pon.Cst,Pon.cxt,83,bitmap,,,
2,Pon.Cst,Pon.cxt,84,bitmap,,,
2,Pon.Cst,Pon.cxt,85,bitmap,,,
2,Pon.Cst,Pon.cxt,86,bitmap,,,
2,Pon.Cst,Pon.cxt,87,bitmap,,,
2,Pon.Cst,Pon.cxt,88,bitmap,,,
2,Pon.Cst,Pon.cxt,89,bitmap,,,
2,Pon.Cst,Pon.cxt,90,bitmap,,,
2,Pon.Cst,Pon.cxt,91,bitmap,,,
2,Pon.Cst,Pon.cxt,92,bitmap,,,
2,Pon.Cst,Pon.cxt,93,bitmap,,,
2,Pon.Cst,Pon.cxt,94,bitmap,,,
2,Pon.Cst,Pon.cxt,95,bitmap,,,
2,Pon.Cst,Pon.cxt,96,bitmap,,,
2,Pon.Cst,Pon.cxt,97,bitmap,,,
2,Pon.Cst,Pon.cxt,98,bitmap,,,
2,Pon.Cst,Pon.cxt,99,bitmap,,,
2,Pon.Cst,Pon.cxt,100,bitmap,,,
2,Pon.Cst,Pon.cxt,101,sound,…|…Ï,,
2,Pon.Cst,Pon.cxt,102,sound,ponVoice,,
2,Pon.Cst,Pon.cxt,103,sound,ponUncle,,
2,Pon.Cst,Pon.cxt,104,sound,ponGal,,
2,Pon.Cst,Pon.cxt,105,sound,057,,
2,Pon.Cst,Pon.cxt,106,sound,PonUncle3,,
2,Pon.Cst,Pon.cxt,107,sound,Sound 172,,
2,Pon.Cst,Pon.cxt,108,sound,È‹«ùÈ «ÀËÑ«ê«»,,
2,Pon.Cst,Pon.cxt,109,sound,299,,
2,Pon.Cst,Pon.cxt,110,sound,«î«õ«¥«À«√…J…Ï…J…Ï«¢«ß‚˛,,
2,Pon.Cst,Pon.cxt,111,sound,204,,
2,Pon.Cst,Pon.cxt,112,script,,,
2,Pon.Cst,Pon.cxt,113,transition,,,
2,Pon.Cst,Pon.cxt,114,script,,,
2,Pon.Cst,Pon.cxt,115,script,,,
2,Pon.Cst,Pon.cxt,116,script,,,
2,Pon.Cst,Pon.cxt,117,transition,,,
2,Pon.Cst,Pon.cxt,118,transition,,,
2,Pon.Cst,Pon.cxt,119,sound,128,,
2,Pon.Cst,Pon.cxt,120,sound,Íœ«√Û®«Õ2,,
2,Pon.Cst,Pon.cxt,121,sound,drum21,,
2,Pon.Cst,Pon.cxt,122,sound,*untitled 44,,
2,Pon.Cst,Pon.cxt,123,sound,204,,
2,Pon.Cst,Pon.cxt,124,script,,,
2,Pon.Cst,Pon.cxt,125,script,,,
3,mino.Cst,mino.cxt,1,filmLoop,minowalk.dir,,
3,mino.Cst,mino.cxt,2,bitmap,,,
3,mino.Cst,mino.cxt,3,bitmap,,,
3,mino.Cst,mino.cxt,4,bitmap,,,
3,mino.Cst,mino.cxt,5,bitmap,,,
3,mino.Cst,mino.cxt,6,bitmap,,,
3,mino.Cst,mino.cxt,7,bitmap,,,
3,mino.Cst,mino.cxt,8,bitmap,,,
3,mino.Cst,mino.cxt,9,bitmap,,,
3,mino.Cst,mino.cxt,10,bitmap,,,
3,mino.Cst,mino.cxt,11,bitmap,,,
3,mino.Cst,mino.cxt,12,bitmap,,,
3,mino.Cst,mino.cxt,13,bitmap,,,
3,mino.Cst,mino.cxt,14,bitmap,,,
3,mino.Cst,mino.cxt,15,bitmap,,,
3,mino.Cst,mino.cxt,16,bitmap,,,
3,mino.Cst,mino.cxt,17,bitmap,,,
3,mino.Cst,mino.cxt,18,bitmap,,,
3,mino.Cst,mino.cxt,19,bitmap,,,
3,mino.Cst,mino.cxt,20,bitmap,,,
3,mino.Cst,mino.cxt,21,bitmap,,,
3,mino.Cst,mino.cxt,22,bitmap,,,
3,mino.Cst,mino.cxt,23,bitmap,,,
3,mino.Cst,mino.cxt,24,bitmap,,,
3,mino.Cst,mino.cxt,25,bitmap,,,
3,mino.Cst,mino.cxt,26,bitmap,,,
3,mino.Cst,mino.cxt,27,bitmap,,,
3,mino.Cst,mino.cxt,28,bitmap,,,
3,mino.Cst,mino.cxt,29,bitmap,,,
3,mino.Cst,mino.cxt,30,bitmap,,,
3,mino.Cst,mino.cxt,31,bitmap,Mino,,
3,mino.Cst,mino.cxt,32,bitmap,FlashMino,,
3,mino.Cst,mino.cxt,33,script,,,
3,mino.Cst,mino.cxt,34,bitmap,minostopL,,
3,mino.Cst,mino.cxt,35,bitmap,minostopR,,
3,mino.Cst,mino.cxt,36,filmLoop,minoRunF,,
3,mino.Cst,mino.cxt,37,filmLoop,minoRunR,,
3,mino.Cst,mino.cxt,38,filmLoop,minoRunL,,
3,mino.Cst,mino.cxt,39,filmLoop,minoRunB,,
3,mino.Cst,mino.cxt,40,sound,138,,
4,kani.Cst,kani.cxt,1,filmLoop,kaniWalk.dir,,
