CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SHRINE.DXR,1,bitmap,,,
1,Internal,SHRINE.DXR,2,bitmap,,,
1,Internal,SHRINE.DXR,3,bitmap,,,
1,Internal,SHRINE.DXR,4,bitmap,,,
1,Internal,SHRINE.DXR,5,bitmap,,,
1,Internal,SHRINE.DXR,6,bitmap,ÍÒ˝«√Íå.cast,,
1,Internal,SHRINE.DXR,7,transition,,,
1,Internal,SHRINE.DXR,8,script,,,
1,Internal,SHRINE.DXR,9,script,,,
1,Internal,SHRINE.DXR,10,script,,,
1,Internal,SHRINE.DXR,11,script,,,
1,Internal,SHRINE.DXR,12,script,,,
1,Internal,SHRINE.DXR,13,script,,,
1,Internal,SHRINE.DXR,14,script,,,
1,Internal,SHRINE.DXR,15,script,,,
1,Internal,SHRINE.DXR,16,script,,,
1,Internal,SHRINE.DXR,17,script,,,
1,Internal,SHRINE.DXR,18,script,,,
1,Internal,SHRINE.DXR,19,script,,,
1,Internal,SHRINE.DXR,20,script,,,
1,Internal,SHRINE.DXR,21,sound,…A…t…‰…J3,,
1,Internal,SHRINE.DXR,22,sound,…A…t…‰…J3,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
2,Pon.Cst,Pon.cxt,26,bitmap,,,
2,Pon.Cst,Pon.cxt,27,bitmap,,,
2,Pon.Cst,Pon.cxt,28,bitmap,,,
2,Pon.Cst,Pon.cxt,29,bitmap,,,
2,Pon.Cst,Pon.cxt,30,bitmap,,,
2,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
2,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
2,Pon.Cst,Pon.cxt,33,bitmap,,,
2,Pon.Cst,Pon.cxt,34,bitmap,,,
2,Pon.Cst,Pon.cxt,35,bitmap,,,
2,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
2,Pon.Cst,Pon.cxt,37,bitmap,,,
2,Pon.Cst,Pon.cxt,38,bitmap,,,
2,Pon.Cst,Pon.cxt,39,bitmap,,,
2,Pon.Cst,Pon.cxt,40,bitmap,,,
2,Pon.Cst,Pon.cxt,41,bitmap,,,
2,Pon.Cst,Pon.cxt,42,bitmap,,,
2,Pon.Cst,Pon.cxt,43,bitmap,,,
2,Pon.Cst,Pon.cxt,44,bitmap,,,
2,Pon.Cst,Pon.cxt,45,bitmap,,,
2,Pon.Cst,Pon.cxt,46,bitmap,,,
2,Pon.Cst,Pon.cxt,47,bitmap,,,
2,Pon.Cst,Pon.cxt,48,bitmap,,,
2,Pon.Cst,Pon.cxt,49,bitmap,,,
2,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
2,Pon.Cst,Pon.cxt,51,bitmap,,,
2,Pon.Cst,Pon.cxt,52,bitmap,,,
2,Pon.Cst,Pon.cxt,53,bitmap,,,
2,Pon.Cst,Pon.cxt,54,bitmap,,,
2,Pon.Cst,Pon.cxt,55,bitmap,,,
2,Pon.Cst,Pon.cxt,56,bitmap,,,
2,Pon.Cst,Pon.cxt,57,bitmap,,,
2,Pon.Cst,Pon.cxt,58,bitmap,,,
2,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
2,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
2,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
2,Pon.Cst,Pon.cxt,62,bitmap,PonStopRR,,
2,Pon.Cst,Pon.cxt,63,bitmap,,,
2,Pon.Cst,Pon.cxt,64,bitmap,,,
2,Pon.Cst,Pon.cxt,65,bitmap,,,
2,Pon.Cst,Pon.cxt,66,filmLoop,PonGetR,,
2,Pon.Cst,Pon.cxt,67,bitmap,PonStopLL,,
2,Pon.Cst,Pon.cxt,68,bitmap,,,
2,Pon.Cst,Pon.cxt,69,bitmap,,,
2,Pon.Cst,Pon.cxt,70,bitmap,,,
2,Pon.Cst,Pon.cxt,71,bitmap,,,
2,Pon.Cst,Pon.cxt,72,bitmap,,,
2,Pon.Cst,Pon.cxt,73,bitmap,,,
2,Pon.Cst,Pon.cxt,74,bitmap,,,
2,Pon.Cst,Pon.cxt,75,filmLoop,PonGetL,,
2,Pon.Cst,Pon.cxt,76,filmLoop,PonPunchL,,
2,Pon.Cst,Pon.cxt,77,bitmap,,,
2,Pon.Cst,Pon.cxt,78,bitmap,,,
2,Pon.Cst,Pon.cxt,79,bitmap,,,
2,Pon.Cst,Pon.cxt,80,bitmap,,,
2,Pon.Cst,Pon.cxt,81,filmLoop,PonPunchR,,
2,Pon.Cst,Pon.cxt,82,bitmap,,,
2,Pon.Cst,Pon.cxt,83,bitmap,,,
2,Pon.Cst,Pon.cxt,84,bitmap,,,
2,Pon.Cst,Pon.cxt,85,bitmap,,,
2,Pon.Cst,Pon.cxt,86,bitmap,,,
2,Pon.Cst,Pon.cxt,87,bitmap,,,
2,Pon.Cst,Pon.cxt,88,bitmap,,,
2,Pon.Cst,Pon.cxt,89,bitmap,,,
2,Pon.Cst,Pon.cxt,90,bitmap,,,
2,Pon.Cst,Pon.cxt,91,bitmap,,,
2,Pon.Cst,Pon.cxt,92,bitmap,,,
2,Pon.Cst,Pon.cxt,93,bitmap,,,
2,Pon.Cst,Pon.cxt,94,bitmap,,,
2,Pon.Cst,Pon.cxt,95,bitmap,,,
2,Pon.Cst,Pon.cxt,96,bitmap,,,
2,Pon.Cst,Pon.cxt,97,bitmap,,,
2,Pon.Cst,Pon.cxt,98,bitmap,,,
2,Pon.Cst,Pon.cxt,99,bitmap,,,
2,Pon.Cst,Pon.cxt,100,bitmap,,,
2,Pon.Cst,Pon.cxt,101,sound,…|…Ï,,
2,Pon.Cst,Pon.cxt,102,sound,ponVoice,,
2,Pon.Cst,Pon.cxt,103,sound,ponUncle,,
2,Pon.Cst,Pon.cxt,104,sound,ponGal,,
2,Pon.Cst,Pon.cxt,105,sound,057,,
2,Pon.Cst,Pon.cxt,106,sound,PonUncle3,,
2,Pon.Cst,Pon.cxt,107,sound,Sound 172,,
2,Pon.Cst,Pon.cxt,108,sound,È‹«ùÈ «ÀËÑ«ê«»,,
